0,329,LGBMRegressor,AISI_1020,4227.333333,253.64,8.38,86.17,brute force,[(0.0, 0.0), (2.83874323940836e-05, 0.0), (5.67744464206044e-05, 0.0), (8.51667355163954e-05, 61.0025062561035), (0.000113550071546342, 71.7363357543945), (0.000141933604027145, 39.7990036010742), (0.000170325365616009, 36.9434242248535), (0.000198710564291105, 2.56742095947266), (0.000227096257731318, 73.0525817871094), (0.000255481951171532, 30.2736263275146), (0.000283867644611746, 73.5098342895508), (0.000312258955091238, 71.8753890991211), (0.000340644648531452, 33.4070320129395), (0.000369030341971666, 75.6918182373047), (0.000397416035411879, 33.2262992858887), (0.000425801728852093, 74.3776092529297), (0.000454187422292307, 46.1263999938965), (0.000482578732771799, 33.9348678588867), (0.000510964426212013, 73.8805618286133), (0.000539350148756057, 34.8592262268066), (0.000567734008654952, 71.1824340820313)],[(0.0, 0.0), (2.83874323940836e-05, 0.0), (5.67744464206044e-05, 0.0), (8.51667355163954e-05, -52.7093391418457), (0.000113550071546342, -68.0268630981445), (0.000141933604027145, -38.3444557189941), (0.000170325365616009, -36.5801696777344), (0.000198710564291105, -2.53320455551147), (0.000227096257731318, -68.6942138671875), (0.000255481951171532, -30.2125759124756), (0.000283867644611746, -70.9641876220703), (0.000312258955091238, -68.8013534545898), (0.000340644648531452, -33.4052352905273), (0.000369030341971666, -72.6536407470703), (0.000397416035411879, -33.1638832092285), (0.000425801728852093, -71.3965682983398), (0.000454187422292307, -45.7797660827637), (0.000482578732771799, -33.9344482421875), (0.000510964426212013, -72.1437606811523), (0.000539350148756057, -34.7363700866699), (0.000567734008654952, -69.2336730957031)],[(0.0, 0.0), (2.83874323940836e-05, 0.0), (5.67744464206044e-05, 0.0), (8.51667355163954e-05, -30.708812713623), (0.000113550071546342, -22.7694492340088), (0.000141933604027145, -10.6613025665283), (0.000170325365616009, 5.16796827316284), (0.000198710564291105, -0.417762100696564), (0.000227096257731318, -24.8552665710449), (0.000255481951171532, 1.92162942886353), (0.000283867644611746, -19.1775684356689), (0.000312258955091238, -20.7953186035156), (0.000340644648531452, 0.346661746501923), (0.000369030341971666, -21.2296867370605), (0.000397416035411879, -2.03561973571777), (0.000425801728852093, -20.8460807800293), (0.000454187422292307, -5.64429140090942), (0.000482578732771799, -0.168831527233124), (0.000510964426212013, -15.925313949585), (0.000539350148756057, -2.92411756515503), (0.000567734008654952, -16.542013168335)]
0,2263,Lasso,AISI_1020,500,30,3.54,62.28,brute force,[(0.0, 0.0), (0.000240004635998048, 0.0), (0.000480005168356001, 0.0), (0.000720005133189261, 51.5850677490234), (0.000960002478677779, 80.487060546875), (0.00120000564493239, 65.1198043823242), (0.00144000235013664, 38.3426933288574), (0.0016800049925223, 23.3154411315918), (0.0019200014648959, 89.8401260375977), (0.00216000410728157, 29.7584018707275), (0.00240000057965517, 43.0843162536621), (0.00264000333845615, 72.5823440551758), (0.00288000586442649, 29.567813873291), (0.0031200023368001, 78.8573150634766), (0.00336000486277044, 24.8896713256836), (0.00360000133514404, 42.3193130493164), (0.00384000362828374, 27.2040557861328), (0.00408000638708472, 14.2831287384033), (0.00432000262662768, 81.6984558105469), (0.00456000491976738, 0.0), (0.00480000022798777, 42.4430198669434)],[(0.0, 0.0), (0.000240004635998048, 0.0), (0.000480005168356001, 0.0), (0.000720005133189261, -46.4525260925293), (0.000960002478677779, -76.6118240356445), (0.00120000564493239, -60.0221328735352), (0.00144000235013664, -38.3277626037598), (0.0016800049925223, -22.3988914489746), (0.0019200014648959, -84.376953125), (0.00216000410728157, -29.0815963745117), (0.00240000057965517, -40.9974021911621), (0.00264000333845615, -70.6903457641602), (0.00288000586442649, -29.2367668151855), (0.0031200023368001, -75.5202102661133), (0.00336000486277044, -24.8011856079102), (0.00360000133514404, -39.6662673950195), (0.00384000362828374, -26.9563369750977), (0.00408000638708472, -14.1617794036865), (0.00432000262662768, -77.2663269042969), (0.00456000491976738, 0.0), (0.00480000022798777, -40.7133293151855)],[(0.0, 0.0), (0.000240004635998048, 0.0), (0.000480005168356001, 0.0), (0.000720005133189261, -22.4317188262939), (0.000960002478677779, -24.6737766265869), (0.00120000564493239, -25.2573356628418), (0.00144000235013664, -1.06999456882477), (0.0016800049925223, 6.47298002243042), (0.0019200014648959, -30.8508987426758), (0.00216000410728157, -6.31056356430054), (0.00240000057965517, -13.2465648651123), (0.00264000333845615, -16.4642486572266), (0.00288000586442649, 4.41215038299561), (0.0031200023368001, -22.6974468231201), (0.00336000486277044, -2.09688067436218), (0.00360000133514404, -14.7482719421387), (0.00384000362828374, 3.66286158561707), (0.00408000638708472, -1.85789465904236), (0.00432000262662768, -26.5434055328369), (0.00456000491976738, 0.0), (0.00480000022798777, -11.9931135177612)]
1,261,LGBMRegressor,AISI_1045,4863.666667,291.82,-8.38,205.32,brute force,[(0.0, 0.0), (2.46742183662718e-05, 0.0), (4.93475090479478e-05, 97.210807800293), (7.40239920560271e-05, 10.9916105270386), (9.86950617516413e-05, 220.020919799805), (0.000123365069157444, 245.909378051758), (0.000148039282066748, 142.056182861328), (0.000172709274920635, 98.8958511352539), (0.000197384928469546, 204.794403076172), (0.000222054775804281, 22.9824676513672), (0.000246728857746348, 295.820037841797), (0.000271402910584584, 305.679656982422), (0.000296076672384515, 0.0), (0.00032074743648991, 266.734252929688), (0.000345423904946074, 63.0977172851563), (0.000370094669051468, 249.304290771484), (0.00039476522943005, 0.0582784786820412), (0.000419441086705774, 61.1853256225586), (0.000444109638920054, 259.156097412109), (0.000468783866381273, 0.0), (0.000493454979732633, 136.921646118164)],[(0.0, 0.0), (2.46742183662718e-05, 0.0), (4.93475090479478e-05, -87.2795944213867), (7.40239920560271e-05, -10.9274463653564), (9.86950617516413e-05, -207.956237792969), (0.000123365069157444, -239.252059936523), (0.000148039282066748, -137.644958496094), (0.000172709274920635, -98.2236328125), (0.000197384928469546, -195.60466003418), (0.000222054775804281, -20.6345405578613), (0.000246728857746348, -279.311645507813), (0.000271402910584584, -281.468231201172), (0.000296076672384515, 0.0), (0.00032074743648991, -241.224700927734), (0.000345423904946074, -62.899715423584), (0.000370094669051468, -245.547592163086), (0.00039476522943005, -0.0577948726713657), (0.000419441086705774, -60.3698844909668), (0.000444109638920054, -234.511810302734), (0.000468783866381273, 0.0), (0.000493454979732633, -136.552520751953)],[(0.0, 0.0), (2.46742183662718e-05, 0.0), (4.93475090479478e-05, -42.804370880127), (7.40239920560271e-05, -1.18592822551727), (9.86950617516413e-05, -71.8568649291992), (0.000123365069157444, -56.83203125), (0.000148039282066748, -35.125862121582), (0.000172709274920635, -11.5111846923828), (0.000197384928469546, -60.6593933105469), (0.000222054775804281, -10.1197595596313), (0.000246728857746348, -97.4397354125977), (0.000271402910584584, -119.229560852051), (0.000296076672384515, 0.0), (0.00032074743648991, -113.832366943359), (0.000345423904946074, 4.99475479125977), (0.000370094669051468, -43.1162490844727), (0.00039476522943005, 0.00749223306775093), (0.000419441086705774, 9.95596981048584), (0.000444109638920054, -110.299995422363), (0.000468783866381273, 0.0), (0.000493454979732633, -10.0470819473267)]
2,2361,Lasso,AISI_1045,500,30,-0.71,213.01,brute force,[(0.0, 0.0), (0.000240002089412883, 0.0), (0.000480002578115091, 0.0), (0.000720005831681192, 2.21550440788269), (0.000960003351792693, 102.124923706055), (0.00120000552851707, 56.579906463623), (0.00144000013824552, 73.8284606933594), (0.00168000068515539, 191.821273803711), (0.00192000123206526, 281.286315917969), (0.00216000154614449, 124.990249633789), (0.00240000197663903, 115.188087463379), (0.00264000426977873, 0.0), (0.00288000539876521, 132.819580078125), (0.00312000070698559, 283.448211669922), (0.00336000183597207, 52.5267333984375), (0.0036000027321279, 65.6437759399414), (0.00384000386111438, 53.5904960632324), (0.00408000499010086, 223.642517089844), (0.00432000029832125, 261.791961669922), (0.00456000119447708, 92.794677734375), (0.00480000022798777, 133.709747314453)],[(0.0, 0.0), (0.000240002089412883, 0.0), (0.000480002578115091, 0.0), (0.000720005831681192, -2.10157203674316), (0.000960003351792693, -101.239112854004), (0.00120000552851707, -56.0735282897949), (0.00144000013824552, -72.4560470581055), (0.00168000068515539, -185.485534667969), (0.00192000123206526, -263.0322265625), (0.00216000154614449, -124.950302124023), (0.00240000197663903, -113.140586853027), (0.00264000426977873, 0.0), (0.00288000539876521, -129.757659912109), (0.00312000070698559, -265.587188720703), (0.00336000183597207, -52.3421211242676), (0.0036000027321279, -63.9812469482422), (0.00384000386111438, -53.2278938293457), (0.00408000499010086, -214.277572631836), (0.00432000029832125, -245.593490600586), (0.00456000119447708, -92.7826156616211), (0.00480000022798777, -130.183685302734)],[(0.0, 0.0), (0.000240002089412883, 0.0), (0.000480002578115091, 0.0), (0.000720005831681192, -0.701323509216309), (0.000960003351792693, -13.4216890335083), (0.00120000552851707, -7.55282306671143), (0.00144000013824552, -14.1690540313721), (0.00168000068515539, -48.8929443359375), (0.00192000123206526, -99.6797103881836), (0.00216000154614449, -3.15984725952148), (0.00240000197663903, -21.6218318939209), (0.00264000426977873, 0.0), (0.00288000539876521, -28.3546943664551), (0.00312000070698559, -99.0269470214844), (0.00336000183597207, 4.40000820159912), (0.0036000027321279, -14.6800880432129), (0.00384000386111438, -6.22356367111206), (0.00408000499010086, -64.0397720336914), (0.00432000029832125, -90.6579971313477), (0.00456000119447708, -1.49633634090424), (0.00480000022798777, -30.5041656494141)]
3,893,LGBMRegressor,AISI_4140,4863.666667,291.82,8.18,238.47,brute force,[(0.0, 0.0), (2.46787931246217e-05, 0.0), (4.93506595375948e-05, 0.0), (7.40240138838999e-05, 57.4774551391602), (9.86920786090195e-05, 300.142578125), (0.000123365985928103, 580.790649414063), (0.000148036706377752, 648.639587402344), (0.000172709522303194, 809.741455078125), (0.000197383138583973, 1017.29168701172), (0.000222055445192382, 965.635803222656), (0.000246728188358247, 1103.1298828125), (0.000271400815108791, 1123.08386230469), (0.000296073820209131, 1181.46618652344), (0.00032074679620564, 1128.91003417969), (0.0003454185789451, 1230.78308105469), (0.00037009219522588, 1448.11376953125), (0.000394764385418966, 1034.62634277344), (0.000419437361415476, 1276.62670898438), (0.000444110424723476, 1310.7333984375), (0.000468782789539546, 1410.29699707031), (0.000493454979732633, 1432.83996582031)],[(0.0, 0.0), (2.46787931246217e-05, 0.0), (4.93506595375948e-05, 0.0), (7.40240138838999e-05, -52.7020072937012), (9.86920786090195e-05, -231.485778808594), (0.000123365985928103, -548.015869140625), (0.000148036706377752, -599.071044921875), (0.000172709522303194, -755.4111328125), (0.000197383138583973, -901.731811523438), (0.000222055445192382, -904.035583496094), (0.000246728188358247, -1056.96838378906), (0.000271400815108791, -1086.25061035156), (0.000296073820209131, -1148.1884765625), (0.00032074679620564, -1106.84704589844), (0.0003454185789451, -1173.49768066406), (0.00037009219522588, -1383.62756347656), (0.000394764385418966, -982.694641113281), (0.000419437361415476, -1211.49389648438), (0.000444110424723476, -1232.25268554688), (0.000468782789539546, -1314.09753417969), (0.000493454979732633, -1330.08239746094)],[(0.0, 0.0), (2.46787931246217e-05, 0.0), (4.93506595375948e-05, 0.0), (7.40240138838999e-05, -22.9380970001221), (9.86920786090195e-05, -191.049453735352), (0.000123365985928103, -192.344451904297), (0.000148036706377752, -248.690933227539), (0.000172709522303194, -291.608032226563), (0.000197383138583973, -470.916290283203), (0.000222055445192382, -339.370269775391), (0.000246728188358247, -315.774169921875), (0.000271400815108791, -285.266571044922), (0.000296073820209131, -278.433898925781), (0.00032074679620564, -222.09831237793), (0.0003454185789451, -371.120300292969), (0.00037009219522588, -427.327056884766), (0.000394764385418966, -323.670867919922), (0.000419437361415476, -402.564544677734), (0.000444110424723476, -446.738555908203), (0.000468782789539546, -511.942596435547), (0.000493454979732633, -532.833374023438)]
4,8559,Lasso,AISI_4140,500,30,-3.13,1121.42,brute force,[(0.0, 0.0), (0.00024000569828786, 0.0), (0.000480003975098953, 0.0), (0.000720002746675164, 502.686309814453), (0.000960000790655613, 406.868194580078), (0.00120000005699694, 699.190612792969), (0.00144000060390681, 697.207580566406), (0.00168000045232475, 792.167846679688), (0.00192000158131123, 908.821655273438), (0.0021600010804832, 912.595458984375), (0.00240000034682453, 936.287292480469), (0.00264000101014972, 957.983764648438), (0.00288000097498298, 956.295349121094), (0.00312000024132431, 991.609497070313), (0.00336000020615757, 1075.46643066406), (0.00360000063665211, 1109.9365234375), (0.00384000083431602, 1152.39721679688), (0.00408000079914927, 1200.06201171875), (0.00432000076398253, 1072.34216308594), (0.00456000072881579, 1002.63360595703), (0.00480000022798777, 1073.87854003906)],[(0.0, 0.0), (0.00024000569828786, 0.0), (0.000480003975098953, 0.0), (0.000720002746675164, -452.753601074219), (0.000960000790655613, -379.038482666016), (0.00120000005699694, -637.195617675781), (0.00144000060390681, -657.368347167969), (0.00168000045232475, -742.544555664063), (0.00192000158131123, -827.185424804688), (0.0021600010804832, -869.126525878906), (0.00240000034682453, -903.708740234375), (0.00264000101014972, -925.833862304688), (0.00288000097498298, -924.268493652344), (0.00312000024132431, -950.722839355469), (0.00336000020615757, -1019.32611083984), (0.00360000063665211, -1054.79736328125), (0.00384000083431602, -1095.13610839844), (0.00408000079914927, -1139.17590332031), (0.00432000076398253, -1040.77514648438), (0.00456000072881579, -970.196716308594), (0.00480000022798777, -1017.95684814453)],[(0.0, 0.0), (0.00024000569828786, 0.0), (0.000480003975098953, 0.0), (0.000720002746675164, -218.420913696289), (0.000960000790655613, -147.890319824219), (0.00120000005699694, -287.83544921875), (0.00144000060390681, -232.304153442383), (0.00168000045232475, -275.966461181641), (0.00192000158131123, -376.45849609375), (0.0021600010804832, -278.297668457031), (0.00240000034682453, -244.835464477539), (0.00264000101014972, -246.098617553711), (0.00288000097498298, -245.415023803711), (0.00312000024132431, -281.807403564453), (0.00336000020615757, -342.931854248047), (0.00360000063665211, -345.4873046875), (0.00384000083431602, -358.742523193359), (0.00408000079914927, -377.394989013672), (0.00432000076398253, -258.272644042969), (0.00456000072881579, -252.967254638672), (0.00480000022798777, -342.021881103516)]
5,1017,LGBMRegressor,AISI_4340,2636.333333,158.18,2.32,573.28,brute force,[(0.0, 0.0), (4.55185399914626e-05, 0.0), (9.10396411200054e-05, 0.0), (0.000136554866912775, 284.956390380859), (0.000182074451004155, 31.6568031311035), (0.000227592143346556, 359.485198974609), (0.000273109821137041, 397.670623779297), (0.00031862870673649, 129.363372802734), (0.000364143343176693, 399.255401611328), (0.000409660511650145, 483.923126220703), (0.000455179222626612, 553.345703125), (0.000500697584357113, 614.000183105469), (0.000546214985661209, 609.204895019531), (0.000591731048189104, 605.37744140625), (0.000637248798739165, 612.723327636719), (0.000682766316458583, 590.007507324219), (0.000728284125216305, 549.122802734375), (0.000773801875766367, 558.545593261719), (0.000819320441223681, 627.497253417969), (0.000864838191773742, 634.214416503906), (0.000910355011001229, 642.682800292969)],[(0.0, 0.0), (4.55185399914626e-05, 0.0), (9.10396411200054e-05, 0.0), (0.000136554866912775, -272.988403320313), (0.000182074451004155, -31.4906673431396), (0.000227592143346556, -340.147155761719), (0.000273109821137041, -378.970886230469), (0.00031862870673649, -126.399612426758), (0.000364143343176693, -388.201965332031), (0.000409660511650145, -458.561553955078), (0.000455179222626612, -531.722961425781), (0.000500697584357113, -594.398864746094), (0.000546214985661209, -601.682861328125), (0.000591731048189104, -579.1630859375), (0.000637248798739165, -577.913940429688), (0.000682766316458583, -563.816467285156), (0.000728284125216305, -528.861267089844), (0.000773801875766367, -539.734924316406), (0.000819320441223681, -608.135925292969), (0.000864838191773742, -617.340087890625), (0.000910355011001229, -622.013916015625)],[(0.0, 0.0), (4.55185399914626e-05, 0.0), (9.10396411200054e-05, 0.0), (0.000136554866912775, -81.7158050537109), (0.000182074451004155, 3.23899841308594), (0.000227592143346556, -116.316474914551), (0.000273109821137041, -120.511329650879), (0.00031862870673649, -27.5321578979492), (0.000364143343176693, -93.2958374023438), (0.000409660511650145, -154.605606079102), (0.000455179222626612, -153.173721313477), (0.000500697584357113, -153.903198242188), (0.000546214985661209, -95.4375991821289), (0.000591731048189104, -176.215621948242), (0.000637248798739165, -203.581298828125), (0.000682766316458583, -173.838638305664), (0.000728284125216305, -147.788986206055), (0.000773801875766367, -143.733856201172), (0.000819320441223681, -154.672225952148), (0.000864838191773742, -145.324340820313), (0.000910355011001229, -161.678436279297)]
6,3165,Lasso,AISI_4340,500,30,-10,545.15,brute force,[(0.0, 0.0), (0.000240006382227875, 0.0), (0.000480000860989094, 137.668075561523), (0.000720000942237675, 117.709854125977), (0.000960003351792693, 83.191520690918), (0.0012000035494566, 336.968994140625), (0.00144000304862857, 358.913787841797), (0.00168000347912312, 482.906616210938), (0.00192000332754105, 263.038940429688), (0.00216000084765255, 584.729064941406), (0.0024000012781471, 643.126159667969), (0.00264000333845615, 594.752258300781), (0.00288000097498298, 435.273040771484), (0.00312000280246139, 577.637084960938), (0.00336000043898821, 545.398742675781), (0.00360000133514404, 74.6371688842773), (0.00384000292979181, 528.878356933594), (0.00408000079914927, 306.959716796875), (0.00432000262662768, 535.714782714844), (0.00456000119447708, 379.258270263672), (0.00480000022798777, 625.260681152344)],[(0.0, 0.0), (0.000240006382227875, 0.0), (0.000480000860989094, -122.27808380127), (0.000720000942237675, -113.542221069336), (0.000960003351792693, -83.1826324462891), (0.0012000035494566, -319.339477539063), (0.00144000304862857, -339.218505859375), (0.00168000347912312, -434.028472900391), (0.00192000332754105, -248.231796264648), (0.00216000084765255, -538.957275390625), (0.0024000012781471, -603.646484375), (0.00264000333845615, -541.063659667969), (0.00288000097498298, -414.458831787109), (0.00312000280246139, -542.2568359375), (0.00336000043898821, -516.867553710938), (0.00360000133514404, -73.6411819458008), (0.00384000292979181, -509.856719970703), (0.00408000079914927, -287.804718017578), (0.00432000262662768, -503.751342773438), (0.00456000119447708, -357.564788818359), (0.00480000022798777, -580.476501464844)],[(0.0, 0.0), (0.000240006382227875, 0.0), (0.000480000860989094, -63.2500648498535), (0.000720000942237675, -31.0446949005127), (0.000960003351792693, -1.21640419960022), (0.0012000035494566, -107.565780639648), (0.00144000304862857, -117.26001739502), (0.00168000347912312, -211.702865600586), (0.00192000332754105, -87.0084228515625), (0.00216000084765255, -226.788757324219), (0.0024000012781471, -221.86083984375), (0.00264000333845615, -246.94206237793), (0.00288000097498298, -132.990570068359), (0.00312000280246139, -199.053192138672), (0.00336000043898821, -174.091186523438), (0.00360000133514404, -12.1525421142578), (0.00384000292979181, -140.564682006836), (0.00408000079914927, -106.73664855957), (0.00432000262662768, -182.276931762695), (0.00456000119447708, -126.428916931152), (0.00480000022798777, -232.374633789063)]
7,890,LGBMRegressor,AISI_52100,1227.333333,73.64,-10,127.09,brute force,[(0.0, 0.0), (9.77771196630783e-05, 0.0), (0.00019554934988264, 126.111595153809), (0.000293321965727955, 163.929748535156), (0.000391092529753223, 81.0160827636719), (0.000488870544359088, 310.467987060547), (0.000586639216635376, 427.402099609375), (0.000684413069393486, 285.113220214844), (0.000782186980359256, 121.535079956055), (0.000879960367456079, 82.8649444580078), (0.000977733754552901, 74.7363433837891), (0.00107550737448037, 240.143753051758), (0.00117328076157719, 93.8955154418945), (0.00127105414867401, 140.127670288086), (0.00136882730294019, 300.896026611328), (0.00146660069003701, 250.243423461914), (0.00156436813995242, 330.349792480469), (0.00166214117780328, 124.25284576416), (0.00175991444848478, 254.741500854492), (0.00185768760275096, 338.889190673828), (0.0019554600585252, 219.546249389648)],[(0.0, 0.0), (9.77771196630783e-05, 0.0), (0.00019554934988264, -111.612609863281), (0.000293321965727955, -146.394088745117), (0.000391092529753223, -74.8923187255859), (0.000488870544359088, -285.763946533203), (0.000586639216635376, -367.784240722656), (0.000684413069393486, -272.444702148438), (0.000782186980359256, -120.42520904541), (0.000879960367456079, -81.2584075927734), (0.000977733754552901, -68.2644653320313), (0.00107550737448037, -217.408248901367), (0.00117328076157719, -91.3505706787109), (0.00127105414867401, -124.793525695801), (0.00136882730294019, -280.210388183594), (0.00146660069003701, -235.939498901367), (0.00156436813995242, -298.069946289063), (0.00166214117780328, -118.119720458984), (0.00175991444848478, -242.038879394531), (0.00185768760275096, -308.215881347656), (0.0019554600585252, -213.087142944336)],[(0.0, 0.0), (9.77771196630783e-05, 0.0), (0.00019554934988264, -58.7091064453125), (0.000293321965727955, -73.7681045532227), (0.000391092529753223, -30.8989715576172), (0.000488870544359088, -121.364486694336), (0.000586639216635376, -217.732208251953), (0.000684413069393486, -84.0442123413086), (0.000782186980359256, -16.3872966766357), (0.000879960367456079, -16.2379093170166), (0.000977733754552901, -30.4217586517334), (0.00107550737448037, -101.99348449707), (0.00117328076157719, -21.7127017974854), (0.00127105414867401, -63.7364921569824), (0.00136882730294019, -109.638290405273), (0.00146660069003701, -83.3926162719727), (0.00156436813995242, -142.426406860352), (0.00166214117780328, -38.55517578125), (0.00175991444848478, -79.438102722168), (0.00185768760275096, -140.885971069336), (0.0019554600585252, -52.8623695373535)]
